id,question_id,choice_text,votes
1,1,Choice 1 for Question 1,13
2,1,Choice 2 for Question 1,39
3,2,Choice 1 for Question 2,4
4,2,Choice 2 for Question 2,39
5,2,Choice 3 for Question 2,46
6,3,Choice 1 for Question 3,34
7,3,Choice 2 for Question 3,21
8,4,Choice 1 for Question 4,29
9,4,Choice 2 for Question 4,28
10,5,Choice 1 for Question 5,18
11,5,Choice 2 for Question 5,48
12,5,Choice 3 for Question 5,43
13,5,Choice 4 for Question 5,26
14,6,Choice 1 for Question 6,3
15,6,Choice 2 for Question 6,24
16,7,Choice 1 for Question 7,50
17,7,Choice 2 for Question 7,25
18,7,Choice 3 for Question 7,42
19,7,Choice 4 for Question 7,16
20,8,Choice 1 for Question 8,28
21,8,Choice 2 for Question 8,49
22,9,Choice 1 for Question 9,17
23,9,Choice 2 for Question 9,4
24,9,Choice 3 for Question 9,38
25,9,Choice 4 for Question 9,30
26,10,Choice 1 for Question 10,19
27,10,Choice 2 for Question 10,4
28,10,Choice 3 for Question 10,42
29,11,Choice 1 for Question 11,13
30,11,Choice 2 for Question 11,18
31,11,Choice 3 for Question 11,9
32,11,Choice 4 for Question 11,7
33,12,Choice 1 for Question 12,24
34,12,Choice 2 for Question 12,47
35,13,Choice 1 for Question 13,12
36,13,Choice 2 for Question 13,36
37,13,Choice 3 for Question 13,9
38,13,Choice 4 for Question 13,8
39,14,Choice 1 for Question 14,17
40,14,Choice 2 for Question 14,31
41,15,Choice 1 for Question 15,39
42,15,Choice 2 for Question 15,5
