Question,is_actpublished Date,ive
Do you like Python!,2025-09-13,True
which progrraming language you like?,2025-09-15,True
what is your favourt color,2025-09-16,True
Sample Question 1: What is your opinion about topic 1?,2025-01-02,False
Sample Question 2: What is your opinion about topic 2?,2025-01-03,True
Sample Question 3: What is your opinion about topic 3?,2025-01-04,False
Sample Question 4: What is your opinion about topic 4?,2025-01-05,True
Sample Question 5: What is your opinion about topic 5?,2025-01-06,False
Sample Question 6: What is your opinion about topic 6?,2025-01-07,True
Sample Question 7: What is your opinion about topic 7?,2025-01-08,False
Sample Question 8: What is your opinion about topic 8?,2025-01-09,True
Sample Question 9: What is your opinion about topic 9?,2025-01-10,False
Sample Question 10: What is your opinion about topic 10?,2025-01-11,True
Sample Question 11: What is your opinion about topic 11?,2025-01-12,False
Sample Question 12: What is your opinion about topic 12?,2025-01-13,True
Sample Question 13: What is your opinion about topic 13?,2025-01-14,False
Sample Question 14: What is your opinion about topic 14?,2025-01-15,True
Sample Question 15: What is your opinion about topic 15?,2025-01-16,False
